"Action","Action"
"Actions","Actions"
"AI Reports","AI Reports"
"Ask","Ask"
"Couldn't run report","Couldn't run report"
"Created","Created"
"Delete","Delete"
"Elapsed (ms)","Elapsed (ms)"
"Emailed To","Emailed To"
"Error","Error"
"Export CSV","Export CSV"
"Last run:","Last run:"
"Last Run","Last Run"
"Last scheduled:","Last scheduled:"
"Manage saved reports","Manage saved reports"
"Manual","Manual"
"No matching data","No matching data"
"Please wait...","Please wait..."
"Re-run","Re-run"
"Rename","Rename"
"Report result","Report result"
"Result","Result"
"Run","Run"
"Run History","Run History"
"Run history","Run history"
"Run reports (chat + view results)","Run reports (chat + view results)"
"Rows","Rows"
"Save","Save"
"Save report","Save report"
"Saved report not found.","Saved report not found."
"Saved Reports","Saved Reports"
"Schedule & Email","Schedule & Email"
"Schedule and email delivery","Schedule and email delivery"
"Started","Started"
"Title","Title"
"Trigger","Trigger"
"Updated","Updated"
"Updated:","Updated:"
"View","View"
